SMILES,prediction
CC(C)C[C@@H]1NC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C)NC1=O,0
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2cc(Cl)c(Cl)cc2NS(=O)(=O)c3cccc4nsnc34,0
CC(C)CCN1N=C(N2CCOCC2)C(=C(C1=O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3)O,0
CC(C)CCN1N=C(C(=C(C1=O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)O)c4cccs4,0
O1[C@](O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)(CO)[C@@H](O)[C@H](O)[C@H]1CO,0
CC(C)CCN1C(=O)C(=C(O)c2cccn12)C3=CS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3,0
CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)C)C(=O)N,0
CC(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC1=O,0
CC(C)C[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC1=O,0
CC(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)N(C)C(=O)CNC1=O,0
CC(C)C[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)N(C)C(=O)CNC1=O,0
CC(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)N(C)C(=O)CNC1=O,0
CC(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC1=O,0
CC(C)C[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)N(C)C(=O)CNC1=O,0
CC(C)C[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC1=O,0
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2ccc(Br)cc2NS(=O)(=O)c3cccc4nccnc34,0
O=C1N=C(NC=2NCC(N(C1=2)C=O)CNc1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O)N,0
OC(=O)CC(NC(=O)CNC(=O)CNC(=O)C(NC(=O)C(NC(=O)C)Cc1c2c([nH]c1)cccc2)C)C(=O)NC(C(=O)N)C,0
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)C)C(=O)N,0
CCCCCC1=C(Cl)N=C(NC(=O)NC(C)(C)C)C(=O)N1CC(=O)Nc2ccccc2C(=O)NS(=O)(=O)c3ccc(cc3)C(F)(F)F,0
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc3ccc(O)cc3)NC1=O)[C@@H](C)O)[C@@H](C)O,0
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nsnc34,0
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2ccc(Cl)cc2NS(=O)(=O)c3cccc4nccnc34,0
OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CCCCN,0
S(CC[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)Cc1ccccc1)C(O)=O)C,0
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)CN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)O,0
OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0
O=C(NCC(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N)C)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C)Cc1c2c([nH]c1)cccc2)C,0
S(CC[C@H](NC)C(=O)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C)Cc1ccccc1)C,0
O1[C@H](COC2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H](O)C1O[C@@]1(O[C@H](CO)[C@@H](O)[C@@H]1O)CO,0
O1C(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)(CO)C(O)C(O)C1CO,0
Oc1c(\C=C\c2cc(O)c(O)cc2)c(ccc1O)\C=C\C(OC(Cc1cc(O)c(O)cc1)C(O)=O)=O,0
CC(C)(C)CCN1N=C(C(=C(C1=O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)O)c4cccs4,0
OC(=O)CCCN1CC(Oc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc12)C(=O)NS(=O)(=O)c5ccccc5,0
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc3ccccc3)NC(=O)CNC(=O)[C@@H](NC(=O)CNC1=O)C(C)C,0
Cc1cc(COc2ccc(cc2)C(=O)N[C@@H]3CCCO[C@@H]3C(=O)NO)c4ccccc4n1,0
Oc1c(CC(O)=O)c(ccc1O)\C=C\C(OC(Cc1cc(O)c(O)cc1)C(O)=O)=O,0
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)C)C(=O)N,0
CC(Nc1ccccc1c2nn[nH]n2)C3=CC(=CN4C(=O)C=C(N=C34)N5CCOCC5)C,0
O1c2c(C(C(O)=O)C1c1cc(O)c(O)cc1)c(ccc2O)\C=C\C(OC(Cc1cc(O)c(O)cc1)C(O)=O)=O,0
O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)C1OC1=C(Oc2c(C1=O)c(O)cc(O)c2)c1cc(O)c(OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,0
CC(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@@H]4CCCN4C1=O,0
O=C1NC(C)C(=O)NCC(=O)NCC(=O)NC(CC(O)=O)C(=O)NC(C)C(=O)NC1Cc1c2c([nH]c1)cccc2,0
S(CC[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C)Cc1ccccc1)C(O)=O)C,0
O=C(N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N)C)CNC(=O)C,0
CC(=O)Nc1cccc(c1)\C(=N/NC(=O)c2ccc(CN(Cc3ccccc3)S(=O)(=O)c4ccc(Cl)cc4)cc2)\C,0
CN1CC[C@@H]([C@H](C1)C(=O)Nc2ccc(OCc3cc(C)nc4ccccc34)cc2)C(=O)NO,0
Cc1cc(COc2ccc(cc2)C(=O)NC3(CC(=O)NO)CCN(CC3)C(C)(C)C)c4ccccc4n1,0
CS(=O)(=O)c1ccc(Sc2ccc(F)cc2CSC(=N)N)c(CSC(=N)N)c1,0
Cc1cc(COc2ccc(cc2)C(=O)NC3(CC(=O)NO)CCN(CC3)C4=NCCS4)c5ccccc5n1,0
CCN1CCC(CC(=O)NO)(CC1)NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2,0
Cc1nc2ccccc2n1Cc3ccc(cc3)C(=O)N[C@@H]4CNC[C@@H]4C(=O)NO,0
CC(C)c1nc2ccccc2n1Cc3ccc(cc3)C(=O)N[C@@H]4CNC[C@@H]4C(=O)NO,0
ONC(=O)[C@H]1C[C@]2(CCCO2)C[C@H]1NC(=O)c3ccc(Cn4c(nc5ccccc45)C6CC6)cc3,0
CN(C)CCN1CC[C@@H]([C@@H](C1)NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C(=O)NO,0
ONC(=O)[C@H]1COC[C@H]1NC(=O)c2ccc(Cn3c(nc4ccccc34)C(F)(F)F)cc2,0
Cc1cc(COc2ccc(cc2)C(=O)N[C@@H]3C[C@H](O)C[C@@H]3C(=O)NO)c4ccccc4n1,0
CNC(=O)CN(C1CCCN(C1=O)c2ccc(cc2F)N3C=CC=CC3=O)S(=O)(=O)c4cc5ccc(Cl)nc5s4,0
Cc1cc(COc2ccc(cc2)C(=O)N[C@@H]3CN(CC=C)C[C@@H]3C(=O)NO)c4ccccc4n1,0
Cc1cc(COc2ccc(cc2)C(=O)N[C@@H]3CN(C[C@@H]3C(=O)NO)C4CCC4)c5ccccc5n1,0
Cc1c(Cc2ccccc2S(=O)(=O)c3ccccc3)c4c(O)nccc4n1CC(=O)O,0
CN1C=Cc2c(C1=O)c(Cc3ccccc3S(=O)(=O)c4ccccc4)c(C)n2CC(=O)O,0
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCNCC2)nc(SCc3cccc(Cl)c3F)n1,0
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)N(C)C(=O)CN(C)C(=O)[C@@H](NC(=O)[C@H](Cc3ccc(O)cc3)NC1=O)[C@@H](C)O,0
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]3CCCN3C(=O)[C@H]4CCCN4C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O,0
Cc1cc(COc2ccc(NC(=O)[C@H]3CCN(C[C@@H]3C(=O)NO)C(=O)c4occc4)cc2)c5ccccc5n1,0
CN1CCC(CC(=O)NO)(CC1)NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2,0
CCC(=O)N1CCC(CC(=O)NO)(CC1)NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2,0
CC(=O)N1CCC(CC(=O)NO)(CC1)NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2,0
CNCc1ccccc1N2CCC(CC2)NC(=O)c3cc(nn3c4ccc5onc(N)c5c4)C(F)(F)F,0
NC(=O)c1cc(C(=O)N2CCc3cc(ccc23)N4C=CC=CC4=O)n(n1)c5ccc6onc(N)c6c5,0
Cc1nc2ccccc2n1Cc3ccc(cc3)C(=O)N[C@@H]4CN(C[C@@H]4C(=O)NO)C(=O)OC(C)(C)C,0
CC(C)c1nc2ccccc2n1Cc3ccc(cc3)C(=O)N[C@@H]4C[C@@]5(CCCO5)C[C@@H]4C(=O)NO,0
CS(=O)(=O)Nc1ccc2N=C(NS(=O)(=O)c2c1)C3=C(O)c4cccn4N(Cc5ccc(F)cc5)C3=O,0
CC(C)c1nc2ccccc2n1Cc3ccc(cc3)C(=O)N[C@@H]4CCC[C@@H]4C(=O)NO,0
Cc1cc(COc2ccc(NC(=O)[C@H]3CCN(C[C@@H]3C(=O)NO)C(=O)OCc4nccs4)cc2)c5ccccc5n1,0
Cc1cc(COc2ccc(cc2)C(=O)NC3(CC(=O)NO)CCN(Cc4ccccc4)CC3)c5ccccc5n1,0
Cc1cc(COc2ccc(cc2)C(=O)N[C@@H]3C[C@@H](O)C[C@@H]3C(=O)NO)c4ccccc4n1,0
CS(=O)(=O)Nc1ccc2N=C(NS(=O)(=O)c2c1)C3=C(O)C4CCCCN4N(Cc5ccc(F)cc5)C3=O,0
OC(=O)[C@H](Cc1ccc(F)c(Br)c1)NC(=O)c2cc(Cl)c(Cl)cc2NS(=O)(=O)c3cccc4nccnc34,0
OC(=O)[C@H](Cc1ccc(Cl)c(Br)c1)NC(=O)c2ccc(Br)cc2NS(=O)(=O)c3cccc4nsnc34,0
OC(=O)[C@H](Cc1ccc(Cl)c(Br)c1)NC(=O)c2ccc(Br)cc2NS(=O)(=O)c3cccc4nccnc34,0
O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@H]3[C@@H]([C@@]4(CO)[C@@](O)(C[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)C[C@H]4O)CC3)[C@H](O)C[C@]12C,0
C[C@@H](Nc1ccccc1C(=O)NS(=O)(=O)C)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,0
OC(=O)CCCN1CC(Oc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc12)c5nn[nH]n5,0
CC[C@H](C)[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccc(O)cc3)NC1=O)C(C)C,0
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc3ccc(O)cc3)NC1=O)C(C)C)[C@@H](C)O,0
O1C(C)C(O)C(O)C(O)C1OC1CC2(O)CCC3C(C2(CO)C(O)C1)C(O)CC1(C)C(CCC13O)C1=CC(OC1)=O,0
CCCN(C)C1=NN(CCC(C)C)C(=O)C(=C1O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2,0
COC1=C(C(=O)N(C)N=C1)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2,0
O1c2c(C(=O)C=C1C(O)=O)c(OCC(O)COc1c3c(OC(=CC3=O)C(O)=O)ccc1)ccc2,0
s1cc(nc1N)/C(=N/OC)/C(=O)NC1C2SCC(CSC3=NC(=O)C(O)=NN3C)=C(N2C1=O)C(O)=O,0
Cc1cc(O)cc(C)c1CC(N)C(=O)NCCCCNC(=O)C(N)Cc2c(C)cc(O)cc2C,0
CC(C)C[C@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,0
O1c2c(C[C@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H]1c1cc(O)c(O)cc1)c(O)cc(O)c2,0
O1c2c(C[C@@H](O)[C@H]1c1cc(O)c(O)c(O)c1)c(O)cc(O)c2,0
NC(=N)SCc1cc(F)ccc1Sc2ccc(cc2CSC(=N)N)[N+](=O)[O-],0
NC(=N)SCc1cc(F)ccc1Sc2cc(F)c(F)cc2CSC(=N)N,0
NC(=N)SCc1cc(F)ccc1Oc2ccc(F)cc2CSC(=N)N,0
CC(C)(C)CCN1N=C(CC(C)(C)C)C(=C(C1=O)C2=NS(=O)(=O)c3cc(NS(=O)(=O)C)ccc3N2)O,0
O1[C@@H](C)[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O[C@H]1[C@@H](Oc2c(C1=O)c(O)cc(O)c2)c1cc(O)c(O)cc1,0
O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H]1Oc1cc(O)c2c(O[C@@H](CC2=O)c2ccc(O)cc2)c1,0
CN1N=CC(=C(C1=O)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)c4ccc(F)cc4,0
OC(=O)CCCN1CC(Oc2c(\C=C\c3ccc(OCCCCc4ccccc4)cc3)cccc12)c5nn[nH]n5,0
O1c2c(c(O)c(O)c(O[C@@H]3O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]3O)c2)C(=O)C=C1c1ccccc1,0
OC(=O)CCCN1CCOc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc12,0
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CN(C)C(=O)[C@@H](NC(=O)[C@H](Cc3ccc(O)cc3)NC1=O)[C@@H](C)O)[C@@H](C)O,0
OC(=O)CCCN1CC(Oc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc12)C(=O)O,0
OC[C@H]1O[C@H](Oc2ccc(cc2)c3ccc(cc3)c4nn[nH]n4)[C@@H](O)[C@@H](O)[C@@H]1O,0
Oc1cc(ccc1O)CC(OC(=O)\C=C\c1cc(O)c(O)cc1)C(O)=O,0
O\N=C(\N)/c1cc2[nH]c(nc2cc1)Cc1[nH]c2nccc(c2n1)C,0
Cc1cc(COc2ccc(NC(=O)[C@H]3CCN(C[C@@H]3C(=O)NO)C(=O)OC4CC4)cc2)c5ccccc5n1,0
OC(=O)CN1C(=O)[C@@]2(NC(=O)N(Cc3cc(Cl)ccc3F)C2=O)c4cc(Cl)ccc14,0
